n	tQuick	tHeap
1	5.0067901611328125e-06	5.0067901611328125e-06
101	0.0002961158752441406	9.036064147949219e-05
201	0.0006146430969238281	0.0001697540283203125
301	0.0010063648223876953	0.00025010108947753906
401	0.0008971691131591797	0.0004336833953857422
501	0.0024569034576416016	0.0005211830139160156
601	0.0022492408752441406	0.0005114078521728516
701	0.0029244422912597656	0.0006129741668701172
801	0.003103017807006836	0.0006668567657470703
901	0.00428462028503418	0.0007569789886474609
1001	0.004426002502441406	0.0009152889251708984
1101	0.00456690788269043	0.0009846687316894531
1201	0.004821062088012695	0.0010921955108642578
1301	0.005751371383666992	0.0011658668518066406
1401	0.0062255859375	0.0009684562683105469
1501	0.0067291259765625	0.0014238357543945312
1601	0.0075435638427734375	0.0013337135314941406
1701	0.007822751998901367	0.0015289783477783203
1801	0.008625030517578125	0.0011410713195800781
1901	0.009019851684570312	0.0016939640045166016
2001	0.00995492935180664	0.001398324966430664
2101	0.01024770736694336	0.0018799304962158203
2201	0.011303424835205078	0.0014491081237792969
2301	0.010745048522949219	0.0019266605377197266
2401	0.011648416519165039	0.0020341873168945312
2501	0.012711048126220703	0.0021169185638427734
2601	0.012584924697875977	0.0024373531341552734
2701	0.014644384384155273	0.002414226531982422
2801	0.01443791389465332	0.0025262832641601562
2901	0.014407873153686523	0.0030808448791503906
3001	0.016075611114501953	0.003380298614501953
3101	0.015713930130004883	0.002281665802001953
3201	0.01603412628173828	0.002855062484741211
3301	0.017521381378173828	0.002501964569091797
3401	0.017922401428222656	0.002930879592895508
3501	0.017699480056762695	0.002988576889038086
3601	0.019251346588134766	0.0035893917083740234
3701	0.018635272979736328	0.0031435489654541016
3801	0.02045464515686035	0.003076791763305664
3901	0.020815134048461914	0.0035195350646972656
4001	0.020694494247436523	0.0034155845642089844
4101	0.023697614669799805	0.003935098648071289
4201	0.02193737030029297	0.003125429153442383
4301	0.022683143615722656	0.003057241439819336
4401	0.02534794807434082	0.00514531135559082
4501	0.023354530334472656	0.003387451171875
4601	0.02691507339477539	0.0050356388092041016
4701	0.025363683700561523	0.004698753356933594
4801	0.027564525604248047	0.003602266311645508
4901	0.02857351303100586	0.0037288665771484375
5001	0.026241779327392578	0.004350185394287109
5101	0.02856278419494629	0.004425525665283203
5201	0.02752852439880371	0.0042285919189453125
5301	0.02965092658996582	0.0045659542083740234
5401	0.029763460159301758	0.004277706146240234
5501	0.030321598052978516	0.004716396331787109
5601	0.030931472778320312	0.005089521408081055
5701	0.03234982490539551	0.00542759895324707
5801	0.03345823287963867	0.005128145217895508
5901	0.032670021057128906	0.005341768264770508
6001	0.033852577209472656	0.005269050598144531
6101	0.03443479537963867	0.005107402801513672
6201	0.03305220603942871	0.00503230094909668
6301	0.03547954559326172	0.0059680938720703125
6401	0.03528761863708496	0.005759000778198242
6501	0.03634953498840332	0.005277156829833984
6601	0.03665304183959961	0.005909919738769531
6701	0.03731179237365723	0.005772590637207031
6801	0.039545297622680664	0.0061376094818115234
6901	0.039670467376708984	0.006380319595336914
7001	0.040849924087524414	0.005919218063354492
7101	0.04115724563598633	0.006131172180175781
7201	0.04131674766540527	0.00619053840637207
7301	0.043085575103759766	0.00641179084777832
7401	0.04339313507080078	0.00609135627746582
7501	0.04250192642211914	0.0066068172454833984
7601	0.04228091239929199	0.0071675777435302734
7701	0.04520463943481445	0.006522178649902344
7801	0.04528665542602539	0.007084846496582031
7901	0.047344207763671875	0.006633281707763672
8001	0.049646854400634766	0.0066051483154296875
8101	0.04635477066040039	0.006887674331665039
8201	0.04957723617553711	0.006871700286865234
8301	0.04770183563232422	0.0066149234771728516
8401	0.04767966270446777	0.007351875305175781
8501	0.04908585548400879	0.007319927215576172
8601	0.04894304275512695	0.00830388069152832
8701	0.05166220664978027	0.007150173187255859
8801	0.051360368728637695	0.007756710052490234
8901	0.05407214164733887	0.0077054500579833984
9001	0.052902936935424805	0.007812976837158203
9101	0.05344963073730469	0.007795810699462891
9201	0.054514408111572266	0.008202075958251953
9301	0.05411052703857422	0.00797581672668457
9401	0.05532121658325195	0.007555723190307617
9501	0.056710243225097656	0.008427619934082031
9601	0.05920147895812988	0.008407831192016602
9701	0.05675935745239258	0.008399724960327148
9801	0.05643725395202637	0.008332967758178711
9901	0.05857729911804199	0.008471012115478516
10001	0.06116628646850586	0.009196996688842773
10101	0.060576438903808594	0.008412837982177734
10201	0.05906319618225098	0.008686065673828125
10301	0.05939888954162598	0.008760929107666016
10401	0.06213784217834473	0.009585380554199219
10501	0.062088966369628906	0.009262561798095703
10601	0.06192970275878906	0.009102582931518555
10701	0.06969070434570312	0.009172439575195312
10801	0.06533503532409668	0.009439945220947266
10901	0.06478619575500488	0.00910806655883789
11001	0.06802606582641602	0.00876760482788086
11101	0.07254409790039062	0.009280204772949219
11201	0.07589602470397949	0.009877681732177734
11301	0.06768035888671875	0.00975179672241211
11401	0.0713815689086914	0.009755849838256836
11501	0.07051324844360352	0.009241104125976562
11601	0.07039475440979004	0.010082483291625977
11701	0.07061648368835449	0.009679555892944336
11801	0.07066726684570312	0.013767480850219727
11901	0.07757186889648438	0.010202169418334961
12001	0.07114505767822266	0.010274887084960938
12101	0.07267189025878906	0.01011800765991211
12201	0.07213473320007324	0.010092735290527344
12301	0.07625460624694824	0.010479927062988281
12401	0.07636189460754395	0.01054239273071289
12501	0.0761861801147461	0.011317968368530273
12601	0.07829403877258301	0.011052370071411133
12701	0.08069682121276855	0.01054525375366211
12801	0.08025741577148438	0.011087417602539062
12901	0.07911539077758789	0.01143336296081543
13001	0.07880306243896484	0.011603116989135742
13101	0.07735252380371094	0.010736942291259766
13201	0.07903575897216797	0.010579347610473633
13301	0.08017802238464355	0.011444330215454102
13401	0.08345627784729004	0.010991096496582031
13501	0.08704233169555664	0.01134037971496582
13601	0.08420395851135254	0.011008739471435547
13701	0.08437275886535645	0.011869668960571289
13801	0.08732986450195312	0.013341188430786133
13901	0.08507323265075684	0.012310504913330078
14001	0.09126830101013184	0.011735677719116211
14101	0.0896615982055664	0.011990785598754883
14201	0.08878946304321289	0.013371944427490234
14301	0.09149432182312012	0.012764930725097656
14401	0.09211230278015137	0.013302803039550781
14501	0.0896768569946289	0.012272119522094727
14601	0.09872269630432129	0.012569665908813477
14701	0.08828234672546387	0.013240337371826172
14801	0.08904266357421875	0.012385845184326172
14901	0.09360146522521973	0.013087749481201172
15001	0.09895062446594238	0.012796640396118164
15101	0.09405755996704102	0.012757539749145508
15201	0.0944831371307373	0.012679815292358398
15301	0.09645748138427734	0.0172882080078125
15401	0.0939948558807373	0.015428304672241211
15501	0.09969162940979004	0.013336420059204102
15601	0.10429644584655762	0.008746862411499023
15701	0.09813642501831055	0.012950897216796875
15801	0.09800314903259277	0.014295101165771484
15901	0.09581232070922852	0.012928247451782227
16001	0.09583091735839844	0.013923406600952148
16101	0.09946346282958984	0.014212369918823242
16201	0.10018610954284668	0.013386726379394531
16301	0.10334372520446777	0.014317750930786133
16401	0.10360407829284668	0.015791893005371094
16501	0.10805606842041016	0.013770341873168945
16601	0.10421371459960938	0.014687061309814453
16701	0.10971260070800781	0.014966726303100586
16801	0.10649800300598145	0.014818906784057617
16901	0.10598111152648926	0.012168169021606445
17001	0.10887622833251953	0.01388406753540039
17101	0.1028890609741211	0.013077497482299805
17201	0.10878276824951172	0.014171838760375977
17301	0.11131525039672852	0.014676332473754883
17401	0.1098473072052002	0.012780189514160156
17501	0.10970520973205566	0.014630794525146484
17601	0.11617565155029297	0.014838695526123047
17701	0.1106877326965332	0.015156269073486328
17801	0.1171882152557373	0.01512455940246582
17901	0.11538481712341309	0.01432347297668457
18001	0.11476445198059082	0.016007423400878906
18101	0.11146831512451172	0.016271114349365234
18201	0.11346673965454102	0.015396595001220703
18301	0.11488890647888184	0.015516519546508789
18401	0.12133002281188965	0.017804861068725586
18501	0.11784100532531738	0.015207529067993164
18601	0.12862086296081543	0.015716552734375
18701	0.11696124076843262	0.016148805618286133
18801	0.1209573745727539	0.01785564422607422
18901	0.12300324440002441	0.015542745590209961
19001	0.12153291702270508	0.016138315200805664
19101	0.12434935569763184	0.01618361473083496
19201	0.12997937202453613	0.01693558692932129
19301	0.12643122673034668	0.015317678451538086
19401	0.1266162395477295	0.01689887046813965
19501	0.12054872512817383	0.016150951385498047
19601	0.1261594295501709	0.0161285400390625
19701	0.13037848472595215	0.016469240188598633
19801	0.13822245597839355	0.017844200134277344
19901	0.1262803077697754	0.01695394515991211
20001	0.12773633003234863	0.01696610450744629
20101	0.1273484230041504	0.017260074615478516
20201	0.1337742805480957	0.01693272590637207
20301	0.12987017631530762	0.016692399978637695
20401	0.12884211540222168	0.018150806427001953
20501	0.13178801536560059	0.016913175582885742
20601	0.15039277076721191	0.019071340560913086
20701	0.14213776588439941	0.015794038772583008
20801	0.13843679428100586	0.019095182418823242
20901	0.13995575904846191	0.019231319427490234
21001	0.13439202308654785	0.017416000366210938
21101	0.1348094940185547	0.019030094146728516
21201	0.14619016647338867	0.016439437866210938
21301	0.148101806640625	0.0153350830078125
21401	0.14170050621032715	0.016651630401611328
21501	0.1412365436553955	0.01919722557067871
21601	0.13597416877746582	0.017038345336914062
21701	0.14499354362487793	0.01850414276123047
21801	0.14220643043518066	0.01741194725036621
21901	0.14426255226135254	0.01916193962097168
22001	0.1416018009185791	0.016648292541503906
22101	0.1397256851196289	0.020536184310913086
22201	0.14800500869750977	0.01940298080444336
22301	0.1401512622833252	0.019325733184814453
22401	0.14528489112854004	0.016989469528198242
22501	0.14798808097839355	0.018961429595947266
22601	0.14740538597106934	0.0190279483795166
22701	0.142503023147583	0.01865363121032715
22801	0.14446663856506348	0.018416643142700195
22901	0.15136313438415527	0.018224477767944336
23001	0.14447450637817383	0.019687652587890625
23101	0.14933395385742188	0.01938915252685547
23201	0.1525588035583496	0.01967310905456543
23301	0.15431523323059082	0.019428730010986328
23401	0.15452933311462402	0.019716978073120117
23501	0.15464162826538086	0.019741058349609375
23601	0.1606917381286621	0.019809722900390625
23701	0.1494004726409912	0.021476030349731445
23801	0.15539813041687012	0.020411968231201172
23901	0.151627779006958	0.020436525344848633
24001	0.15509414672851562	0.020461559295654297
24101	0.1575162410736084	0.018320560455322266
24201	0.15973520278930664	0.02144789695739746
24301	0.1549849510192871	0.021228313446044922
24401	0.1614513397216797	0.021549224853515625
24501	0.15931129455566406	0.021053075790405273
24601	0.16709661483764648	0.02339768409729004
24701	0.1571500301361084	0.016428709030151367
24801	0.16203022003173828	0.021987438201904297
24901	0.16216421127319336	0.02249002456665039
25001	0.15962982177734375	0.02185344696044922
25101	0.16766810417175293	0.02114725112915039
25201	0.17017745971679688	0.022043943405151367
25301	0.16710186004638672	0.01955127716064453
25401	0.17069506645202637	0.018751144409179688
25501	0.16692280769348145	0.02170848846435547
25601	0.16873455047607422	0.02161407470703125
25701	0.16233062744140625	0.02582716941833496
25801	0.17350554466247559	0.023837804794311523
25901	0.17064929008483887	0.022920846939086914
26001	0.16761350631713867	0.0217282772064209
26101	0.16868185997009277	0.021472454071044922
26201	0.17911267280578613	0.02204728126525879
26301	0.17414283752441406	0.022243261337280273
26401	0.18395423889160156	0.021291732788085938
26501	0.1728501319885254	0.023054838180541992
26601	0.17755627632141113	0.02401566505432129
26701	0.17455458641052246	0.02124190330505371
26801	0.1785886287689209	0.024158716201782227
26901	0.16998744010925293	0.023244857788085938
27001	0.1779801845550537	0.02205657958984375
27101	0.18189406394958496	0.022006511688232422
27201	0.18401098251342773	0.023262739181518555
27301	0.19152450561523438	0.022393465042114258
27401	0.18339061737060547	0.023506879806518555
27501	0.19230127334594727	0.02320551872253418
27601	0.18090224266052246	0.0242919921875
27701	0.18372154235839844	0.0250246524810791
27801	0.18527650833129883	0.023695707321166992
27901	0.17847561836242676	0.02184581756591797
28001	0.18416786193847656	0.02454209327697754
28101	0.18455076217651367	0.023215293884277344
28201	0.18243908882141113	0.025179147720336914
28301	0.19132709503173828	0.023723840713500977
28401	0.19121122360229492	0.0260164737701416
28501	0.19091057777404785	0.02450847625732422
28601	0.19578003883361816	0.028614044189453125
28701	0.19644665718078613	0.026131153106689453
28801	0.19434738159179688	0.02549576759338379
28901	0.1891939640045166	0.02537846565246582
29001	0.19647622108459473	0.022872447967529297
29101	0.19426345825195312	0.025104761123657227
29201	0.19084620475769043	0.02740764617919922
29301	0.20214486122131348	0.024410724639892578
29401	0.19814252853393555	0.02538442611694336
